"Latitude"	"Longitude"	"Elevation"	"Speed"	"Heading"	"Ax"	"Ay"	"Az"	"Yawrate"	"GentimeSec"	"ID"
42.28683	-83.73073	213.6	16.3	254.5875	-0.69	20.01	0	0.24	351277116.7	"ID18002919002205327605"
42.28683	-83.73074	213.6	16.24	254.75	-0.71	20.01	0	0.59	351277116.8	"ID18002919002205327605"
42.28682	-83.73077	213.6	16.22	254.85	-0.66	20.01	0	0.85	351277116.9	"ID18002919002205327605"
42.28682	-83.73078	213.6	16.12	254.9625	-0.68	20.01	0	1.02	351277117	"ID18002919002205327605"
42.28682	-83.7308	213.6	16.06	254.975	-0.69	20.01	0	0.93	351277117.1	"ID18002919002205327605"
42.28682	-83.73082	213.6	16	255.1125	-0.66	20.01	0	0.97	351277117.2	"ID18002919002205327605"
42.28681	-83.73084	213.6	15.92	255.25	-0.69	20.01	0	1.06	351277117.3	"ID18002919002205327605"
42.28681	-83.73086	213.6	15.84	255.15	-0.72	20.01	0	0.72	351277117.4	"ID18002919002205327605"
42.2868	-83.73088	213.6	15.78	255.55	-0.69	20.01	0	1.17	351277117.5	"ID18002919002205327605"
42.2868	-83.7309	213.6	15.66	256.05	-0.76	20.01	0	2.14	351277117.6	"ID18002919002205327605"
42.2868	-83.73091	213.6	15.58	256.4625	-0.78	20.01	0	3.02	351277117.7	"ID18002919002205327605"
42.28679	-83.73093	213.6	15.56	257.0625	-0.72	20.01	0	4.04	351277117.8	"ID18002919002205327605"
42.28679	-83.73095	213.6	15.46	257.6125	-0.73	20.01	0	4.82	351277117.9	"ID18002919002205327605"
42.28679	-83.73097	213.6	15.42	257.9625	-0.67	20.01	0	4.95	351277118	"ID18002919002205327605"
42.28679	-83.73099	213.6	15.32	258.275	-0.71	20.01	0	4.65	351277118.1	"ID18002919002205327605"
42.28678	-83.731	213.6	15.24	258.7125	-0.73	20.01	0	4.46	351277118.2	"ID18002919002205327605"
42.28678	-83.73103	213.6	15.16	258.85	-0.77	20.01	0	3.74	351277118.3	"ID18002919002205327605"
42.28678	-83.73104	213.6	15.08	259.1625	-0.76	20.01	0	3.28	351277118.4	"ID18002919002205327605"
42.28677	-83.73106	213.6	15.02	259.1375	-0.74	20.01	0	2.35	351277118.5	"ID18002919002205327605"
42.28677	-83.73108	213.6	14.86	259.3625	-0.85	20.01	0	1.88	351277118.6	"ID18002919002205327605"
42.28677	-83.73109	213.6	14.74	259.425	-0.95	20.01	0	1.4	351277118.7	"ID18002919002205327605"
42.28677	-83.73111	213.6	14.62	259.75	-1.03	20.01	0	1.53	351277118.8	"ID18002919002205327605"
42.28677	-83.73113	213.6	14.48	259.775	-1.13	20.01	0	1.33	351277118.9	"ID18002919002205327605"
42.28676	-83.73115	213.6	14.38	260.05	-1.13	20.01	0	1.52	351277119	"ID18002919002205327605"
42.28676	-83.73116	213.6	14.16	260.225	-1.28	20.01	0	1.65	351277119.1	"ID18002919002205327605"
42.28676	-83.73118	213.6	14.02	260.3375	-1.35	20.01	0	1.6	351277119.2	"ID18002919002205327605"
42.28676	-83.73119	213.6	13.82	260.55	-1.5	20.01	0	1.7	351277119.3	"ID18002919002205327605"
42.28675	-83.73122	213.6	13.74	260.9	-1.45	20.01	0	2.09	351277119.4	"ID18002919002205327605"
42.28675	-83.73123	213.6	13.48	260.8625	-1.6	20.01	0	1.8	351277119.5	"ID18002919002205327605"
42.28675	-83.73125	213.6	13.34	261.025	-1.6	20.01	0	1.62	351277119.6	"ID18002919002205327605"
42.28675	-83.73126	213.6	13.18	261.15	-1.63	20.01	0	1.44	351277119.7	"ID18002919002205327605"
42.28675	-83.73128	213.6	13.06	261.3625	-1.56	20.01	0	1.5	351277119.8	"ID18002919002205327605"
42.28675	-83.73129	213.6	12.88	261.6	-1.58	20.01	0	1.69	351277119.9	"ID18002919002205327605"
42.28674	-83.73131	213.6	12.72	261.35	-1.59	20.01	0	0.98	351277120	"ID18002919002205327605"
42.28674	-83.73132	213.6	12.58	261.6	-1.57	20.01	0	0.93	351277120.1	"ID18002919002205327605"
42.28674	-83.73134	213.6	12.4	261.825	-1.57	20.01	0	1.15	351277120.2	"ID18002919002205327605"
42.28674	-83.73135	213.6	12.24	261.7625	-1.58	20.01	0	0.91	351277120.3	"ID18002919002205327605"
42.28674	-83.73137	213.6	12.12	262.125	-1.54	20.01	0	1.32	351277120.4	"ID18002919002205327605"
42.28674	-83.73138	213.6	11.96	262.35	-1.52	20.01	0	1.71	351277120.5	"ID18002919002205327605"
42.28674	-83.73139	213.6	11.78	262.4	-1.57	20.01	0	1.65	351277120.6	"ID18002919002205327605"
42.28674	-83.73141	213.6	11.62	262.5375	-1.58	20.01	0	1.57	351277120.7	"ID18002919002205327605"
42.28673	-83.73142	213.6	11.48	262.5	-1.56	20.01	0	1.16	351277120.8	"ID18002919002205327605"
42.28673	-83.73144	213.6	11.3	263	-1.57	20.01	0	1.69	351277120.9	"ID18002919002205327605"
42.28673	-83.73145	213.6	11.14	263.1625	-1.57	20.01	0	1.69	351277121	"ID18002919002205327605"
42.28673	-83.73146	213.6	11	263.025	-1.82	20.01	0	1.68	351277121.1	"ID18002919002205327605"
42.28673	-83.73148	213.6	10.8	263.1875	-1.82	20.01	0	1.68	351277121.2	"ID18002919002205327605"
42.28673	-83.73149	213.6	10.8	263.05	-1.92	20.01	0	1.38	351277121.3	"ID18002919002205327605"
42.28672	-83.7315	213.6	10.6	263.1875	-1.92	20.01	0	1.38	351277121.4	"ID18002919002205327605"
42.28672	-83.73151	213.6	10.62	262.9	-1.95	20.01	0	0.67	351277121.5	"ID18002919002205327605"
42.28672	-83.73153	213.6	10.42	262.9625	-1.95	20.01	0	0.67	351277121.6	"ID18002919002205327605"
42.28672	-83.73154	213.6	10.4	263.35	-1.98	20.01	0	1.09	351277121.7	"ID18002919002205327605"
42.28672	-83.73155	213.6	10.2	263.4625	-1.98	20.01	0	1.09	351277121.8	"ID18002919002205327605"
42.28672	-83.73157	213.6	10.14	263.325	-2.09	20.01	0	1.02	351277121.9	"ID18002919002205327605"
42.28672	-83.73158	213.6	10.02	262.95	-1.99	20.01	0	0.05	351277122	"ID18002919002205327605"
42.28672	-83.73159	213.6	9.92	262.5375	-1.82	20.01	0	-1.24	351277122.1	"ID18002919002205327605"
42.28672	-83.7316	213.6	9.8	262.5125	-1.66	20.01	0	-1.67	351277122.2	"ID18002919002205327605"
42.28672	-83.73161	213.6	9.66	262.175	-1.55	20.01	0	-2.22	351277122.3	"ID18002919002205327605"
42.28671	-83.73162	213.6	9.56	262.15	-1.42	20.01	0	-2.1	351277122.4	"ID18002919002205327605"
42.28671	-83.73164	213.6	9.44	261.8625	-1.36	20.01	0	-2.19	351277122.5	"ID18002919002205327605"
42.28671	-83.73164	213.6	9.34	261.75	-1.28	20.01	0	-2.03	351277122.6	"ID18002919002205327605"
42.28671	-83.73166	213.6	9.26	261.4875	-1.16	20.01	0	-2.07	351277122.7	"ID18002919002205327605"
42.28671	-83.73167	213.6	9.18	261.175	-1.07	20.01	0	-2.3	351277122.8	"ID18002919002205327605"
42.28671	-83.73168	213.6	9.12	261.4625	-0.98	20.01	0	-1.39	351277122.9	"ID18002919002205327605"
42.28671	-83.73169	213.6	9.06	261.2625	-0.88	20.01	0	-1.06	351277123	"ID18002919002205327605"
42.28671	-83.7317	213.6	8.98	260.95	-0.82	20.01	0	-1.3	351277123.1	"ID18002919002205327605"
42.28671	-83.73171	213.6	8.92	261.0625	-0.78	20.01	0	-0.94	351277123.2	"ID18002919002205327605"
42.2867	-83.73172	213.6	8.88	260.75	-0.7	20.01	0	-1.19	351277123.3	"ID18002919002205327605"
42.2867	-83.73174	213.6	8.8	260.75	-0.69	20.01	0	-1.1	351277123.4	"ID18002919002205327605"
42.2867	-83.73174	213.6	8.74	261.0125	-0.68	20.01	0	-0.31	351277123.5	"ID18002919002205327605"
42.2867	-83.73175	213.6	8.62	260.425	-0.73	20.01	0	-1.01	351277123.6	"ID18002919002205327605"
42.2867	-83.73177	213.6	8.64	260.6875	-0.63	20.01	0	-0.65	351277123.7	"ID18002919002205327605"
42.2867	-83.73177	213.6	8.54	260.8625	-0.64	20.01	0	0	351277123.8	"ID18002919002205327605"
42.28669	-83.73178	213.6	8.46	260.5625	-0.67	20.01	0	-0.26	351277123.9	"ID18002919002205327605"
42.28669	-83.7318	213.6	8.42	260.5625	-0.62	20.01	0	-0.33	351277124	"ID18002919002205327605"
42.28669	-83.7318	213.6	8.38	260.4875	-0.59	20.01	0	-0.46	351277124.1	"ID18002919002205327605"
42.28669	-83.73181	213.6	8.3	260.6375	-0.6	20.01	0	-0.14	351277124.2	"ID18002919002205327605"
42.28669	-83.73183	213.6	8.24	260.325	-0.61	20.01	0	-0.56	351277124.3	"ID18002919002205327605"
42.28669	-83.73183	213.6	8.18	260.2	-0.6	20.01	0	-0.89	351277124.4	"ID18002919002205327605"
42.28669	-83.73184	213.6	8.12	260.2375	-0.6	20.01	0	-0.82	351277124.5	"ID18002919002205327605"
42.28669	-83.73185	213.6	8.08	260.075	-0.58	20.01	0	-0.94	351277124.6	"ID18002919002205327605"
42.28669	-83.73186	213.6	8	260.4	-0.6	20.01	0	-0.19	351277124.7	"ID18002919002205327605"
42.28668	-83.73187	213.6	7.94	260.375	-0.6	20.01	0	-0.19	351277124.8	"ID18002919002205327605"
42.28668	-83.73188	213.6	7.9	259.4625	-0.65	20.01	0	-1.59	351277124.9	"ID18002919002205327605"
42.28668	-83.73189	213.6	7.84	259.3	-0.65	20.01	0	-1.59	351277125	"ID18002919002205327605"
42.28668	-83.7319	213.6	7.78	259.0125	-0.75	20.01	0	-2.85	351277125.1	"ID18002919002205327605"
42.28668	-83.73191	213.6	7.7	258.725	-0.75	20.01	0	-2.85	351277125.2	"ID18002919002205327605"
42.28667	-83.73192	213.6	7.72	258.45	-0.77	20.01	0	-4.03	351277125.3	"ID18002919002205327605"
42.28667	-83.73193	213.6	7.64	258.0375	-0.77	20.01	0	-4.03	351277125.4	"ID18002919002205327605"
42.28667	-83.73193	213.6	7.74	257.9875	-0.63	20.01	0	-4.72	351277125.5	"ID18002919002205327605"
42.28667	-83.73194	213.6	7.68	257.5125	-0.63	20.01	0	-4.72	351277125.6	"ID18002919002205327605"
42.28667	-83.73196	213.6	7.72	258.1875	-0.52	20.01	0	-3.75	351277125.7	"ID18002919002205327605"
42.28667	-83.73196	213.6	7.66	257.8125	-0.52	20.01	0	-3.75	351277125.8	"ID18002919002205327605"
42.28667	-83.73197	213.6	7.78	257.95	-0.31	20.01	0	-2.99	351277125.9	"ID18002919002205327605"
42.28666	-83.73198	213.6	7.74	257.65	-0.31	20.01	0	-2.99	351277126	"ID18002919002205327605"
42.28666	-83.73199	213.6	7.82	257.725	-0.13	20.01	0	-2.48	351277126.1	"ID18002919002205327605"
42.28666	-83.732	213.6	7.8	257.475	-0.13	20.01	0	-2.48	351277126.2	"ID18002919002205327605"
42.28666	-83.73201	213.6	7.86	257.6125	0.02	20.01	0	-1.95	351277126.3	"ID18002919002205327605"
42.28666	-83.73202	213.6	7.86	257.4125	0.02	20.01	0	-1.95	351277126.4	"ID18002919002205327605"
42.28666	-83.73203	213.6	7.84	257.025	0.06	20.01	0	-2.46	351277126.5	"ID18002919002205327605"
42.28666	-83.73204	213.6	7.86	256.775	0.06	20.01	0	-2.46	351277126.6	"ID18002919002205327605"
42.28665	-83.73205	213.6	7.86	256.6	0.08	20.01	0	-3.07	351277126.7	"ID18002919002205327605"
42.28665	-83.73206	213.6	7.88	256.2875	0.08	20.01	0	-3.07	351277126.8	"ID18002919002205327605"
42.28665	-83.73206	213.6	7.88	256.0875	0.09	20.01	0	-3.77	351277126.9	"ID18002919002205327605"
42.28665	-83.73207	213.6	7.88	255.95	0.11	20.01	0	-3.65	351277127	"ID18002919002205327605"
42.28665	-83.73209	213.6	7.88	256.0875	0.09	20.01	0	-2.6	351277127.1	"ID18002919002205327605"
42.28664	-83.73209	213.6	7.92	256.025	0.12	20.01	0	-1.7	351277127.2	"ID18002919002205327605"
42.28664	-83.7321	213.6	7.92	255.85	0.11	20.01	0	-1.25	351277127.3	"ID18002919002205327605"
42.28664	-83.73211	213.6	7.88	255.9375	0.03	20.01	0	-0.62	351277127.4	"ID18002919002205327605"
42.28664	-83.73212	213.6	7.84	255.575	-0.04	20.01	0	-0.9	351277127.5	"ID18002919002205327605"
42.28664	-83.73213	213.6	7.86	255.3	-0.04	20.01	0	-1.4	351277127.6	"ID18002919002205327605"
42.28664	-83.73214	213.6	7.86	255.7125	-0.05	20.01	0	-0.56	351277127.7	"ID18002919002205327605"
42.28663	-83.73215	213.6	7.8	255.55	-0.11	20.01	0	-0.36	351277127.8	"ID18002919002205327605"
42.28663	-83.73215	213.6	7.72	255.1625	-0.24	20.01	0	-0.94	351277127.9	"ID18002919002205327605"
42.28663	-83.73216	213.6	7.72	255.4375	-0.27	20.01	0	-0.51	351277128	"ID18002919002205327605"
42.28663	-83.73218	213.6	7.68	254.8375	-0.29	20.01	0	-1.37	351277128.1	"ID18002919002205327605"
42.28662	-83.73219	213.6	7.66	255.0875	-0.3	20.01	0	-1.04	351277128.2	"ID18002919002205327605"
42.28662	-83.73219	213.6	7.58	255.25	-0.36	20.01	0	-0.34	351277128.3	"ID18002919002205327605"
42.28662	-83.7322	213.6	7.56	254.5375	-0.37	20.01	0	-1.33	351277128.4	"ID18002919002205327605"
42.28662	-83.73221	213.6	7.46	254.9	-0.44	20.01	0	-0.86	351277128.5	"ID18002919002205327605"
42.28662	-83.73222	213.6	7.42	254.8125	-0.44	20.01	0	-0.86	351277128.6	"ID18002919002205327605"
42.28662	-83.73222	213.6	7.26	254.6875	-0.72	20.01	0	-0.87	351277128.7	"ID18002919002205327605"
42.28662	-83.73224	213.6	7.18	254.6	-0.72	20.01	0	-0.87	351277128.8	"ID18002919002205327605"
42.28661	-83.73225	213.6	7.06	253.9	-1.02	20.01	0	-2.24	351277128.9	"ID18002919002205327605"
42.28661	-83.73225	213.6	6.94	253.675	-1.02	20.01	0	-2.24	351277129	"ID18002919002205327605"
42.28661	-83.73226	213.6	6.84	253.925	-1.29	20.01	0	-2.42	351277129.1	"ID18002919002205327605"
42.28661	-83.73227	213.6	6.72	253.675	-1.29	20.01	0	-2.42	351277129.2	"ID18002919002205327605"
42.28661	-83.73228	213.6	6.68	253.55	-1.43	20.01	0	-2.76	351277129.3	"ID18002919002205327605"
42.28661	-83.73228	213.6	6.54	253.275	-1.43	20.01	0	-2.76	351277129.4	"ID18002919002205327605"
42.2866	-83.73229	213.6	6.7	254.3	-1.27	20.01	0	-0.93	351277129.5	"ID18002919002205327605"
42.2866	-83.7323	213.6	6.56	254.2125	-1.27	20.01	0	-0.93	351277129.6	"ID18002919002205327605"
42.2866	-83.73231	213.6	6.58	253.7875	-1.2	20.01	0	-0.85	351277129.7	"ID18002919002205327605"
42.2866	-83.73232	213.6	6.44	253.7	-1.2	20.01	0	-0.85	351277129.8	"ID18002919002205327605"
42.2866	-83.73232	213.6	6.46	253.8	-1.16	20.01	0	-0.61	351277129.9	"ID18002919002205327605"
42.28659	-83.73233	213.6	6.34	253.7375	-1.16	20.01	0	-0.61	351277130	"ID18002919002205327605"
42.28659	-83.73234	213.6	6.54	253.95	-0.86	20.01	0	-0.1	351277130.1	"ID18002919002205327605"
42.28659	-83.73235	213.6	6.44	253.9375	-0.86	20.01	0	-0.1	351277130.2	"ID18002919002205327605"
42.28659	-83.73235	213.6	6.76	253.4875	-0.28	20.01	0	-0.72	351277130.3	"ID18002919002205327605"
42.28659	-83.73236	213.6	6.74	253.4125	-0.28	20.01	0	-0.72	351277130.4	"ID18002919002205327605"
42.28659	-83.73237	213.6	7.04	253.075	0.38	20.01	0	-1.69	351277130.5	"ID18002919002205327605"
42.28658	-83.73238	213.6	7.06	252.9	0.38	20.01	0	-1.69	351277130.6	"ID18002919002205327605"
42.28658	-83.73238	213.6	7.5	252.6875	1.27	20.01	0	-2.6	351277130.7	"ID18002919002205327605"
42.28658	-83.73239	213.6	7.62	252.425	1.27	20.01	0	-2.6	351277130.8	"ID18002919002205327605"
42.28658	-83.7324	213.6	7.98	252.7375	2.13	20.01	0	-2.44	351277130.9	"ID18002919002205327605"
42.28658	-83.73241	213.6	8.2	252.4875	2.13	20.01	0	-2.44	351277131	"ID18002919002205327605"
42.28657	-83.73242	213.6	8.38	252.0875	2.74	20.01	0	-3.15	351277131.1	"ID18002919002205327605"
42.28657	-83.73243	213.6	8.66	251.7625	2.74	20.01	0	-3.15	351277131.2	"ID18002919002205327605"
42.28657	-83.73244	213.6	8.8	251.775	3.18	20.01	0	-3.5	351277131.3	"ID18002919002205327605"
42.28656	-83.73245	213.6	9.12	251.425	3.18	20.01	0	-3.5	351277131.4	"ID18002919002205327605"
42.28656	-83.73246	213.6	9.24	251.15	3.51	20.01	0	-4.19	351277131.5	"ID18002919002205327605"
42.28656	-83.73248	213.6	9.58	250.7375	3.51	20.01	0	-4.19	351277131.6	"ID18002919002205327605"
42.28656	-83.73248	213.6	9.6	250.825	3.67	20.01	0	-4.36	351277131.7	"ID18002919002205327605"
42.28655	-83.7325	213.6	9.74	250.6	3.4	20.01	0	-4.04	351277131.8	"ID18002919002205327605"
42.28655	-83.73251	213.6	9.98	250.375	3.12	20.01	0	-3.52	351277131.9	"ID18002919002205327605"
42.28655	-83.73252	213.6	10.08	249.9	2.72	20.01	0	-3.5	351277132	"ID18002919002205327605"
42.28654	-83.73253	213.6	10.3	250.1	2.48	20.01	0	-2.43	351277132.1	"ID18002919002205327605"
42.28654	-83.73254	213.6	10.44	249.875	2.23	20.01	0	-1.85	351277132.2	"ID18002919002205327605"
42.28654	-83.73255	213.6	10.58	249.5	2.02	20.01	0	-1.95	351277132.3	"ID18002919002205327605"
42.28653	-83.73258	213.6	10.92	249.275	1.8	20.01	0	-1.56	351277132.5	"ID18002919002205327605"
42.28653	-83.73259	213.6	11.06	249.125	1.72	20.01	0	-1.52	351277132.6	"ID18002919002205327605"
42.28652	-83.7326	213.6	11.24	249.05	1.68	20.01	0	-1.34	351277132.7	"ID18002919002205327605"
42.28652	-83.73262	213.6	11.34	248.85	1.56	20.01	0	-1.4	351277132.8	"ID18002919002205327605"
42.28651	-83.73264	213.6	11.64	248.4625	1.52	20.01	0	-1.58	351277133	"ID18002919002205327605"
42.28651	-83.73266	213.6	11.76	248.325	1.67	20.01	0	-1.95	351277133.1	"ID18002919002205327605"
42.2865	-83.73267	213.6	11.92	248.125	1.67	20.01	0	-1.95	351277133.2	"ID18002919002205327605"
42.2865	-83.73268	213.6	11.88	248.025	1.66	20.01	0	-2.33	351277133.3	"ID18002919002205327605"
42.2865	-83.7327	213.6	12.04	247.7875	1.66	20.01	0	-2.33	351277133.4	"ID18002919002205327605"
42.28649	-83.73271	213.6	12.08	247.65	1.71	20.01	0	-2.79	351277133.5	"ID18002919002205327605"
42.28649	-83.73273	213.6	12.24	247.375	1.71	20.01	0	-2.79	351277133.6	"ID18002919002205327605"
42.28648	-83.73273	213.6	12.22	247.0875	1.68	20.01	0	-3.58	351277133.7	"ID18002919002205327605"
42.28648	-83.73275	213.6	12.38	246.725	1.68	20.01	0	-3.58	351277133.8	"ID18002919002205327605"
42.28647	-83.73277	213.6	12.38	246.55	1.66	20.01	0	-4.31	351277133.9	"ID18002919002205327605"
42.28647	-83.73278	213.6	12.54	246.125	1.66	20.01	0	-4.31	351277134	"ID18002919002205327605"
42.28646	-83.7328	213.6	12.72	246.85	1.91	20.01	0	-3.24	351277134.1	"ID18002919002205327605"
42.28646	-83.7328	213.6	12.92	246.525	1.91	20.01	0	-3.24	351277134.2	"ID18002919002205327605"
42.28646	-83.73282	213.6	12.9	245.925	1.98	20.01	0	-3.89	351277134.3	"ID18002919002205327605"
42.28645	-83.73283	213.6	13.1	245.5375	1.98	20.01	0	-3.89	351277134.4	"ID18002919002205327605"
42.28645	-83.73285	213.6	13.08	245.6625	1.98	20.01	0	-3.96	351277134.5	"ID18002919002205327605"
42.28644	-83.73286	213.6	13.28	245.2625	1.98	20.01	0	-3.96	351277134.6	"ID18002919002205327605"
42.28643	-83.73288	213.6	13.32	245.225	2.05	20.01	0	-4.08	351277134.7	"ID18002919002205327605"
42.28643	-83.73289	213.6	13.52	244.8125	2.05	20.01	0	-4.08	351277134.8	"ID18002919002205327605"
42.28643	-83.73291	213.6	13.52	244.9375	2.05	20.01	0	-3.91	351277134.9	"ID18002919002205327605"
42.28642	-83.73293	213.6	13.72	244.5375	2.05	20.01	0	-3.91	351277135	"ID18002919002205327605"
42.28642	-83.73294	213.6	13.72	244.65	2.07	20.01	0	-3.63	351277135.1	"ID18002919002205327605"
42.28641	-83.73296	213.6	13.94	244.275	2.07	20.01	0	-3.63	351277135.2	"ID18002919002205327605"
42.2864	-83.73297	213.6	13.92	245.1375	2.05	20.01	0	-1.82	351277135.3	"ID18002919002205327605"
42.2864	-83.73299	213.6	14.12	244.95	2.05	20.01	0	-1.82	351277135.4	"ID18002919002205327605"
42.28639	-83.733	213.6	14.1	244.7625	2	20.01	0	-1.29	351277135.5	"ID18002919002205327605"
42.28639	-83.73302	213.6	14.3	244.6375	2	20.01	0	-1.29	351277135.6	"ID18002919002205327605"
42.28638	-83.73303	213.6	14.2	244.5625	1.85	20.01	0	-1.17	351277135.7	"ID18002919002205327605"
42.28638	-83.73305	213.6	14.4	244.45	1.85	20.01	0	-1.17	351277135.8	"ID18002919002205327605"
42.28637	-83.73306	213.6	14.3	244.1875	1.65	20.01	0	-1.62	351277135.9	"ID18002919002205327605"
42.28637	-83.73308	213.6	14.46	244.025	1.65	20.01	0	-1.62	351277136	"ID18002919002205327605"
42.28636	-83.73309	213.6	14.32	243.8	1.35	20.01	0	-2.27	351277136.1	"ID18002919002205327605"
42.28635	-83.73311	213.6	14.32	243.775	1.06	20.01	0	-2.2	351277136.2	"ID18002919002205327605"
42.28635	-83.73312	213.6	14.34	243.525	0.81	20.01	0	-2.23	351277136.3	"ID18002919002205327605"
42.28634	-83.73314	213.6	14.42	243.3	0.81	20.01	0	-2.23	351277136.4	"ID18002919002205327605"
42.28634	-83.73314	213.6	14.36	243.4875	0.62	20.01	0	-1.88	351277136.5	"ID18002919002205327605"
42.28633	-83.73315	213.6	14.36	243.3	0.45	20.01	0	-1.71	351277136.6	"ID18002919002205327605"
42.28633	-83.73317	213.6	14.38	243.225	0.37	20.01	0	-1.43	351277136.7	"ID18002919002205327605"
